danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName,popularity
0.432,0.874,7,-5.558,1,0.0462,0.0732,0.00000614,0.371,0.374,103.85,audio_features,0L9lXMXddmoBbBUeF7A9An,spotify:track:0L9lXMXddmoBbBUeF7A9An,https://api.spotify.com/v1/tracks/0L9lXMXddmoBbBUeF7A9An,https://api.spotify.com/v1/audio-analysis/0L9lXMXddmoBbBUeF7A9An,195195,4,2017-01-12T08:36:18Z,6jfuBG9u0Au2nWXGXTXmux,Gavin James,neo mellow,https://i.scdn.co/image/ab67616d0000b273a643e6c6a848c153e9b9068d,Nervous (The Ooh Song) - Mark McCabe Remix,58
0.768,0.814,0,-5.91,0,0.151,0.413,0,0.0839,0.541,92.979,audio_features,0VeYT2aD9t65JgofFZGpKl,spotify:track:0VeYT2aD9t65JgofFZGpKl,https://api.spotify.com/v1/tracks/0VeYT2aD9t65JgofFZGpKl,https://api.spotify.com/v1/audio-analysis/0VeYT2aD9t65JgofFZGpKl,269187,4,2017-01-10T15:27:54Z,5zLwiG6UFFIQGcUD01I7CE,The Weeknd,canadian contemporary r&b,https://i.scdn.co/image/ab67616d0000b27319d748fb78571a6d2de9654d,I Feel It Coming,10
0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,audio_features,3ISYGHoYnu4gos6JNMfL4z,spotify:track:3ISYGHoYnu4gos6JNMfL4z,https://api.spotify.com/v1/tracks/3ISYGHoYnu4gos6JNMfL4z,https://api.spotify.com/v1/audio-analysis/3ISYGHoYnu4gos6JNMfL4z,218965,4,2017-01-07T15:19:15Z,1dSXaXQpdXuhORM0sx6ycc,Porter Robinson,big room,https://i.scdn.co/image/ab67616d0000b273cd351ba7f943f528294d580b,Shelter,4
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,0FE9t6xYkqWXU2ahLh6D8X,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,233713,4,2017-01-07T10:12:42Z,7oJa8bPFKVbq4c7NswXHw8,Ed Sheeran,pop,https://i.scdn.co/image/ab67616d0000b27383e9b06ccd219248b5301264,Shape of You,77
0.513,0.768,4,-4.868,0,0.0587,0.0118,0.0000194,0.294,0.235,84.264,audio_features,3cNjgVBKTJ1SvKhunrCdVy,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,210580,4,2017-01-04T07:45:45Z,2SF8Wbc61u8hlQkZYGVCnx,Joel Adams,australian pop,https://i.scdn.co/image/ab67616d0000b2733a22ad98e76e2d0c1760345d,Please Don't Go,77
0.595,0.662,11,-6.858,0,0.0362,0.0178,0,0.0804,0.417,96.053,audio_features,04CttTezSnv71USiiG9mIo,spotify:track:04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/tracks/04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/audio-analysis/04CttTezSnv71USiiG9mIo,218447,4,2017-01-04T06:51:34Z,4ywy3ahNM8FMH99Ueuf9ZA,Hearts & Colors,undefined,https://i.scdn.co/image/54712b049b20aae91ef6ef3d95ff85b66a3ded31,Lighthouse - Andrelli Remix,59
0.623,0.654,0,-5.675,0,0.0372,0.0545,0,0.0838,0.401,95.921,audio_features,0FuTx2s3YH1ppmtiM6l0zI,spotify:track:0FuTx2s3YH1ppmtiM6l0zI,https://api.spotify.com/v1/tracks/0FuTx2s3YH1ppmtiM6l0zI,https://api.spotify.com/v1/audio-analysis/0FuTx2s3YH1ppmtiM6l0zI,220291,4,2017-01-04T06:47:46Z,4PtHrEv5SyIVsdbMKi6Vkg,JP Cooper,undefined,https://i.scdn.co/image/ab67616d0000b2731400ec742ee0935608e30700,September Song,24
0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.483,99.269,audio_features,1Pw5C4N6Fn5E4mGCxmbbVa,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa,https://api.spotify.com/v1/audio-analysis/1Pw5C4N6Fn5E4mGCxmbbVa,211240,4,2017-01-04T06:45:20Z,0BL67dR6x0CPU7B7J9P8qC,James Arthur,pop,https://i.scdn.co/image/ab67616d0000b2731de3cbdb04e475e61acbc33d,Say You Won't Let Go,78
0.266,0.791,5,-5.539,0,0.0461,0.0225,0,0.0694,0.27,84.965,audio_features,3GAm9dFMgdI4gbrC4yw6oL,spotify:track:3GAm9dFMgdI4gbrC4yw6oL,https://api.spotify.com/v1/tracks/3GAm9dFMgdI4gbrC4yw6oL,https://api.spotify.com/v1/audio-analysis/3GAm9dFMgdI4gbrC4yw6oL,238381,3,2017-01-01T12:40:00Z,2yIhtZ71tZU7q6rv3wuZlu,Shi Shi,undefined,https://i.scdn.co/image/ab67616d0000b273564f15d30b8a2c06b8a808cf,是他不配,40
0.424,0.0511,3,-23.798,1,0.0449,0.989,0.894,0.105,0.196,82.126,audio_features,3EdoVT18WTQNKkdfIn9nkl,spotify:track:3EdoVT18WTQNKkdfIn9nkl,https://api.spotify.com/v1/tracks/3EdoVT18WTQNKkdfIn9nkl,https://api.spotify.com/v1/audio-analysis/3EdoVT18WTQNKkdfIn9nkl,94693,4,2017-01-01T11:49:14Z,0nQJa9mRvan1HnkwbYuxAN,Justin Hurwitz,undefined,https://i.scdn.co/image/01e6f5d0dcb7cfa55074021361d7c500bcb94555,It’s Over / Engagement Party,42
